Books,Price,mrp,Discount,Writer,Rating,People Liked
Magbook Indian Polity & Governance 2021,140,?235,40% off,"English, Paperback, Sahni Janmenjay",4.5,-553
10 Yearwise Upsc Civil Services IAS Mains General Studi...,354,?450,21% off,"English, Paperback, unknown",4.3,-185
Ncert Digest General Science Old + New Ncert Class vi X...,320,?440,27% off,"English, Paperback, unknown",4.3,-61
10 Previous Varsh Topic Wise Upsc Civil Services IAS Ma...,628,?875,28% off,"Hindi, Paperback, unknown",4.2,-144
8 Varsh UPSC Civil Sewa IAS Mains Hindi (Anivarya) Year...,140,,,"Paperback, Disha Experts",4.5,-718
Contemporary Essays ( English| 3rd Edition) | UPSC | Ci...,309,?350,11% off,"Paperback, Singh Ramesh",4.2,-54
NCERT General Science and Science and Technology for Ci...,219,?375,41% off,"Paperback, Sheelwant Singh, Kriti Rastogi, Sarika",3.9,-130
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers...,510,,,"English, Paperback, unknown",4.5,"-9,144"
IAS Prelims General Studies Paper 1 - 101 Speed Tests w...,410,,,"English, Paperback, Disha Experts",4.3,-96
Disaster Management Textguide for Civil Services Upsc &...,225,?250,10% off,"English, Paperback, Malik Ashish",4.2,-45
"Ethics, Integrity & Aptitude",387,?599,35% off,"English, Paperback, Rao Subba G",4.4,"-1,305"
Super 10 Mock Tests for Upsc IAS Prarhambhik Samanya Ad...,219,?250,12% off,"Hindi, Paperback, unknown",4.3,-54
Indian Economy Ncert Plus Objective & Subjective Questi...,216,?270,20% off,"English, Paperback, unknown",4.4,-427
Solved Multiple Choice Questions Upsc & Md Entrance Exa...,738,?899,17% off,"English, Paperback, Chauhan V.K.",4.5,-96
